name,display_name,url,logo_url,category,description,signup_difficulty,signin_difficulty,apikey_difficulty,requires_email_verification,requires_phone_verification,requires_sms_verification,requires_authenticator,has_captcha,captcha_type,anti_bot_techniques,signup_status,signin_status,apikey_status,priority,estimated_hours,has_official_api,api_documentation_url,api_rate_limits,notes
google,Google,https://accounts.google.com,https://logo.clearbit.com/accounts.google.com,tech-giant,Automation for Google,extreme,hard,hard,True,True,True,True,True,recaptcha,"[""advanced_detection"", ""device_fingerprinting"", ""behavioral_analysis"", ""rate_limiting""]",not_started,not_started,not_started,100,120,True,https://developers.google.com/identity,,"Complex OAuth flow, advanced bot detection"
microsoft,Microsoft,https://login.microsoftonline.com,https://logo.clearbit.com/login.microsoftonline.com,tech-giant,Automation for Microsoft,hard,medium,medium,True,True,False,True,True,custom,"[""device_fingerprinting"", ""rate_limiting"", ""ip_blocking""]",not_started,not_started,not_started,95,80,True,https://docs.microsoft.com/en-us/azure/active-directory/,,Azure AD integration required
azure,Microsoft Azure,https://portal.azure.com,https://logo.clearbit.com/portal.azure.com,cloud-provider,Automation for Microsoft Azure,hard,medium,medium,True,True,True,True,False,,"[""device_fingerprinting"", ""rate_limiting""]",not_started,not_started,not_started,95,60,True,https://docs.microsoft.com/en-us/rest/api/azure/,,Uses Microsoft identity platform
aws,Amazon Web Services,https://aws.amazon.com,https://logo.clearbit.com/aws.amazon.com,cloud-provider,Automation for Amazon Web Services,medium,easy,medium,True,False,False,False,False,,[],not_started,not_started,not_started,100,40,True,,,
gcp,Google Cloud Platform,https://cloud.google.com,https://logo.clearbit.com/cloud.google.com,cloud-provider,Automation for Google Cloud Platform,medium,easy,medium,True,False,False,False,False,,[],not_started,not_started,not_started,95,40,True,,,
digitalocean,DigitalOcean,https://www.digitalocean.com,https://logo.clearbit.com/digitalocean.com,cloud-provider,Automation for DigitalOcean,medium,easy,medium,True,False,False,False,False,,[],not_started,not_started,not_started,85,40,True,,,
linode,Linode,https://www.linode.com,https://logo.clearbit.com/linode.com,cloud-provider,Automation for Linode,medium,easy,medium,True,False,False,False,False,,[],not_started,not_started,not_started,80,40,True,,,
vultr,Vultr,https://www.vultr.com,https://logo.clearbit.com/vultr.com,cloud-provider,Automation for Vultr,medium,easy,medium,True,False,False,False,False,,[],not_started,not_started,not_started,75,40,True,,,
heroku,Heroku,https://www.heroku.com,https://logo.clearbit.com/heroku.com,cloud-provider,Automation for Heroku,medium,easy,medium,True,False,False,False,False,,[],not_started,not_started,not_started,85,40,True,,,
vercel,Vercel,https://vercel.com,https://logo.clearbit.com/vercel.com,cloud-provider,Automation for Vercel,medium,easy,medium,True,False,False,False,False,,[],not_started,not_started,not_started,80,40,True,,,
netlify,Netlify,https://www.netlify.com,https://logo.clearbit.com/netlify.com,cloud-provider,Automation for Netlify,medium,easy,medium,True,False,False,False,False,,[],not_started,not_started,not_started,75,40,True,,,
github,GitHub,https://github.com,https://logo.clearbit.com/github.com,dev-tools,Automation for GitHub,medium,easy,medium,True,False,False,False,False,,[],not_started,not_started,not_started,100,40,True,,,
gitlab,GitLab,https://gitlab.com,https://logo.clearbit.com/gitlab.com,dev-tools,Automation for GitLab,medium,easy,medium,True,False,False,False,False,,[],not_started,not_started,not_started,90,40,True,,,
bitbucket,Bitbucket,https://bitbucket.org,https://logo.clearbit.com/bitbucket.org,dev-tools,Automation for Bitbucket,medium,easy,medium,True,False,False,False,False,,[],not_started,not_started,not_started,80,40,True,,,
docker,Docker Hub,https://hub.docker.com,https://logo.clearbit.com/hub.docker.com,dev-tools,Automation for Docker Hub,medium,easy,medium,True,False,False,False,False,,[],not_started,not_started,not_started,85,40,True,,,
npm,NPM,https://www.npmjs.com,https://logo.clearbit.com/npmjs.com,dev-tools,Automation for NPM,medium,easy,medium,True,False,False,False,False,,[],not_started,not_started,not_started,80,40,True,,,
pypi,PyPI,https://pypi.org,https://logo.clearbit.com/pypi.org,dev-tools,Automation for PyPI,medium,easy,medium,True,False,False,False,False,,[],not_started,not_started,not_started,75,40,True,,,
datadog,Datadog,https://www.datadoghq.com,https://logo.clearbit.com/datadoghq.com,monitoring,Automation for Datadog,medium,easy,medium,True,False,False,False,False,,[],not_started,not_started,not_started,95,40,True,,,
grafana,Grafana,https://grafana.com,https://logo.clearbit.com/grafana.com,monitoring,Automation for Grafana,medium,easy,medium,True,False,False,False,False,,[],not_started,not_started,not_started,90,40,True,,,
sentry,Sentry,https://sentry.io,https://logo.clearbit.com/sentry.io,monitoring,Automation for Sentry,medium,easy,medium,True,False,False,False,False,,[],not_started,not_started,not_started,85,40,True,,,
newrelic,New Relic,https://newrelic.com,https://logo.clearbit.com/newrelic.com,monitoring,Automation for New Relic,medium,easy,medium,True,False,False,False,False,,[],not_started,not_started,not_started,80,40,True,,,
prometheus,Prometheus,https://prometheus.io,https://logo.clearbit.com/prometheus.io,monitoring,Automation for Prometheus,medium,easy,medium,True,False,False,False,False,,[],not_started,not_started,not_started,75,40,True,,,
